zawód,typ
Administrator baz danych,p
Administrator bezpieczeństwa informacji (Inspektor ochrony danych),a
Administrator stron internetowych,a
Administrator systemów komputerowych,p
Analityk baz danych,a
Analityk sieci komputerowych,a
Analityk systemów teleinformatycznych,a
Architekt stron internetowych,p
Asystent usług telekomunikacyjnych,t
Bioinformatyk,p
Grafik komputerowy DTP,a
Inżynier teleinformatyk,t
Inżynier telekomunikacji,t
Kierownik działu informatyki,p
Kierownik rozwoju technologii informatycznych,p
Kierownik sieci informatycznych,t
Konserwator sieci i systemów komputerowych,t
Monter sieci i urządzeń telekomunikacyjnych,t
Nauczyciel informatyki / technologii informacyjnej,p
Nauczyciel informatyki w szkole podstawowej,p
Nauczyciel technologii informatycznych w placówkach pozaszkolnych,p
Operator aplikacji komputerowych,a
Programista aplikacji,p
Programista aplikacji mobilnych,p
Projektant / architekt systemów teleinformatycznych,t
Projektant baz danych,p
Serwisant sprzętu komputerowego,t
Specjalista do spraw rozwoju oprogramowania systemów informatycznych,p
Specjalista zastosowań informatyki,p
Statystyk,a
Technik analityk,a
Technik cyfrowych procesów graficznych,a
Technik informatyk,p
Technik teleinformatyk,t
Technik telekomunikacji,t
Technolog inżynierii telekomunikacyjnej,t
Tester oprogramowania komputerowego,p
